# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
4.849112631555715780e+04 -8.943353878421217669e+05 -1.322401284829837493e+02 1.197091968098024279e+07 2.218924243413202930e+05 8.706508602003768319e+05 2.280866400912366807e+05 -1.362579965309360996e+06 3.362414208574070595e+06 -1.155897545961034717e+06 -1.333396330781975016e+07 -9.263459742654092843e+05
-8.943353878421217669e+05 3.195123835833939910e+07 6.538222174050137255e+03 -1.875411007752428949e+08 -3.107607365170188248e+06 -1.376882587023437396e+07 -3.243335996364050079e+06 2.328263180970561877e+07 -4.758228479245214909e+07 1.687269275757896900e+07 1.938341549648151100e+08 4.066581362872693688e+07
-1.322401284829837493e+02 6.538222174050137255e+03 1.900170361714300427e+00 -3.166790803254909406e+04 -4.569054862890992013e+02 -1.886675881968313433e+03 -4.590515523126076687e+02 3.414758272925077108e+03 -6.350786969274225157e+03 2.413986150931678367e+03 2.847178352415164409e+04 9.857630993384509566e+03
1.197091968098024279e+07 -1.875411007752428949e+08 -3.166790803254909406e+04 1.538600929049626923e+10 9.359744374566181004e+07 1.314232259761832207e+08 5.938749288731306791e+07 -1.806342281176105142e+08 2.818725226980432272e+08 -3.748521761724681854e+08 -5.068035036969887733e+09 -2.183894085659403205e+08
2.218924243413202930e+05 -3.107607365170188248e+06 -4.569054862890992013e+02 9.359744374566181004e+07 1.655430936002713395e+06 7.795439432753773406e+06 1.634030651007378008e+06 -7.783734014587278478e+06 2.417894054603836685e+07 -9.400233971555102617e+06 -9.149922912580525875e+07 -3.162592540587724186e+06
8.706508602003768319e+05 -1.376882587023437396e+07 -1.886675881968313433e+03 1.314232259761832207e+08 7.795439432753773406e+06 6.719068826693268120e+07 9.190255172157075256e+06 -4.794890128576815873e+07 1.676461218347872496e+08 -5.994816043828605860e+07 -4.096542739207723737e+08 -1.336930799922554567e+07
2.280866400912366807e+05 -3.243335996364050079e+06 -4.590515523126076687e+02 5.938749288731306791e+07 1.634030651007378008e+06 9.190255172157075256e+06 1.756854946676550899e+06 -8.968468152460094541e+06 2.854985532649062201e+07 -1.003094299337816797e+07 -9.100187708558283746e+07 -3.193503259838862345e+06
-1.362579965309360996e+06 2.328263180970561877e+07 3.414758272925077108e+03 -1.806342281176105142e+08 -7.783734014587278478e+06 -4.794890128576815873e+07 -8.968468152460094541e+06 5.174112292103461176e+07 -1.539825084833177030e+08 4.966223524781056494e+07 4.486466444506387115e+08 2.367420768426719308e+07
3.362414208574070595e+06 -4.758228479245214909e+07 -6.350786969274225157e+03 2.818725226980432272e+08 2.417894054603836685e+07 1.676461218347872496e+08 2.854985532649062201e+07 -1.539825084833177030e+08 6.968933612905049324e+08 -1.642334720259516835e+08 -1.328945738895278692e+09 -4.454423324159090221e+07
-1.155897545961034717e+06 1.687269275757896900e+07 2.413986150931678367e+03 -3.748521761724681854e+08 -9.400233971555102617e+06 -5.994816043828605860e+07 -1.003094299337816797e+07 4.966223524781056494e+07 -1.642334720259516835e+08 6.146851254340583086e+07 5.078018254272852540e+08 1.685142736105260253e+07
-1.333396330781975016e+07 1.938341549648151100e+08 2.847178352415164409e+04 -5.068035036969887733e+09 -9.149922912580525875e+07 -4.096542739207723737e+08 -9.100187708558283746e+07 4.486466444506387115e+08 -1.328945738895278692e+09 5.078018254272852540e+08 5.139774367867814064e+09 1.972995378142353296e+08
-9.263459742654092843e+05 4.066581362872693688e+07 9.857630993384509566e+03 -2.183894085659403205e+08 -3.162592540587724186e+06 -1.336930799922554567e+07 -3.193503259838862345e+06 2.367420768426719308e+07 -4.454423324159090221e+07 1.685142736105260253e+07 1.972995378142353296e+08 5.690074627058213949e+07
