# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.197224069201808423e+07 1.351478275410058359e+03 -1.306516004448063523e+08 -2.239728776580217294e+06 -1.323155857241311483e+07 -2.665479592103691306e+06 1.887308497212811559e+07 -4.057262116758856922e+07 1.466413695320474170e+07 1.508534872301677465e+08 4.069825992347799242e+07
1.351478275410058359e+03 8.424988722830123455e-02 -5.120898035335986606e+03 -7.277288739685427288e+01 -3.813968902174914888e+02 -8.389805253686998299e+01 6.144633392386757578e+02 -1.195208854415257520e+03 4.548271083800447627e+02 4.977612189649049469e+03 2.061411876365685202e+03
-1.306516004448063523e+08 -5.120898035335986606e+03 1.069133135507780838e+10 2.738073518889612332e+07 -2.404792595445478261e+08 -3.339325402510854183e+05 5.144270032233325392e+07 -4.954814759924407005e+08 2.893827806759339571e+07 -1.780136367595960140e+09 -1.674420291418564618e+08
-2.239728776580217294e+06 -7.277288739685427288e+01 2.738073518889612332e+07 4.346190867374718655e+05 1.155967391831128392e+06 4.589618587010452175e+05 -2.724408961489249952e+06 6.412410366671262309e+06 -2.078817837677864358e+06 -2.846194610148439556e+07 -2.468000635535124689e+06
-1.323155857241311483e+07 -3.813968902174914888e+02 -2.404792595445478261e+08 1.155967391831128392e+06 3.072249391368449852e+07 2.845780002823112532e+06 -2.270092486891989037e+07 7.082218308430503309e+07 -1.963496038594735414e+07 -7.079918638540847600e+07 -1.360713230229847692e+07
-2.665479592103691306e+06 -8.389805253686998299e+01 -3.339325402510854183e+05 4.589618587010452175e+05 2.845780002823112532e+06 6.141213283851323649e+05 -3.977167707468869630e+06 1.065462232501127385e+07 -3.027016846236482728e+06 -3.015697481858490407e+07 -2.862474131985186599e+06
1.887308497212811559e+07 6.144633392386757578e+02 5.144270032233325392e+07 -2.724408961489249952e+06 -2.270092486891989037e+07 -3.977167707468869630e+06 2.737438733501230553e+07 -7.472537098820935190e+07 2.096059151088784635e+07 1.794615937927521467e+08 2.070964794607797265e+07
-4.057262116758856922e+07 -1.195208854415257520e+03 -4.954814759924407005e+08 6.412410366671262309e+06 7.082218308430503309e+07 1.065462232501127385e+07 -7.472537098820935190e+07 5.944182103431597948e+08 -5.741139570942424983e+07 -3.825380290149131417e+08 -4.156301978189130872e+07
1.466413695320474170e+07 4.548271083800447627e+02 2.893827806759339571e+07 -2.078817837677864358e+06 -1.963496038594735414e+07 -3.027016846236482728e+06 2.096059151088784635e+07 -5.741139570942424983e+07 1.715248472072035074e+07 1.338500232187418044e+08 1.572301078133029863e+07
1.508534872301677465e+08 4.977612189649049469e+03 -1.780136367595960140e+09 -2.846194610148439556e+07 -7.079918638540847600e+07 -3.015697481858490407e+07 1.794615937927521467e+08 -3.825380290149131417e+08 1.338500232187418044e+08 1.880695131673155546e+09 1.675383100628651977e+08
4.069825992347799242e+07 2.061411876365685202e+03 -1.674420291418564618e+08 -2.468000635535124689e+06 -1.360713230229847692e+07 -2.862474131985186599e+06 2.070964794607797265e+07 -4.156301978189130872e+07 1.572301078133029863e+07 1.675383100628651977e+08 5.695418187646216154e+07
