# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
4.849575289872498979e+04 -8.944825586291195359e+05 -7.179241609198469121e+01 1.197184936320289783e+07 2.219094110570893681e+05 8.707122493925945600e+05 2.281013180552672711e+05 -1.362690726232995512e+06 3.362595803315711208e+06 -1.155980319100319175e+06 -1.333496134645001404e+07 -9.265325211687694537e+05
-8.944825586291195359e+05 3.195971901192833111e+07 3.688760721691748586e+03 -1.875722817047211528e+08 -3.108128535516430624e+06 -1.377090963818218373e+07 -3.243783830072300974e+06 2.328632263536468148e+07 -4.758769476649696380e+07 1.687534016582052037e+07 1.938648098740293086e+08 4.067886881813635677e+07
-7.179241609198469121e+01 3.688760721691748586e+03 6.479613190403237244e-01 -1.740078932440186327e+04 -2.479499327683408865e+02 -1.017680490411863957e+03 -2.481507574317457454e+02 1.854349373501635455e+03 -3.411546935264898821e+03 1.307125310615169838e+03 1.544749646507050056e+04 5.651807957191767855e+03
1.197184936320289783e+07 -1.875722817047211528e+08 -1.740078932440186327e+04 1.538619183444837952e+10 9.360080989466547966e+07 1.314346945804987401e+08 5.939030664943108708e+07 -1.806561657059750259e+08 2.819058346249476671e+08 -3.748681369482061863e+08 -5.068232525742841721e+09 -2.184305352439481914e+08
2.219094110570893681e+05 -3.108128535516430624e+06 -2.479499327683408865e+02 9.360080989466547966e+07 1.655492414845721098e+06 7.795659704598941840e+06 1.634083466613395372e+06 -7.784134054358532652e+06 2.417958910683438182e+07 -9.400532049949692562e+06 -9.150285375960756838e+07 -3.163253350547355134e+06
8.707122493925945600e+05 -1.377090963818218373e+07 -1.017680490411863957e+03 1.314346945804987401e+08 7.795659704598941840e+06 6.719160751743271947e+07 9.190445579552639276e+06 -4.795037579710987210e+07 1.676485330432850122e+08 -5.994929116728758067e+07 -4.096671383316830397e+08 -1.337190901182267256e+07
2.281013180552672711e+05 -3.243783830072300974e+06 -2.481507574317457454e+02 5.939030664943108708e+07 1.634083466613395372e+06 9.190445579552639276e+06 1.756898817013276042e+06 -8.968807250294616446e+06 2.855037726546075568e+07 -1.003119804727393016e+07 -9.100495699371004105e+07 -3.194065000707220752e+06
-1.362690726232995512e+06 2.328632263536468148e+07 1.854349373501635455e+03 -1.806561657059750259e+08 -7.784134054358532652e+06 -4.795037579710987210e+07 -8.968807250294616446e+06 5.174374180545067787e+07 -1.539866208624046147e+08 4.966419199320459366e+07 4.486700561266966462e+08 2.367894895596533641e+07
3.362595803315711208e+06 -4.758769476649696380e+07 -3.411546935264898821e+03 2.819058346249476671e+08 2.417958910683438182e+07 1.676485330432850122e+08 2.855037726546075568e+07 -1.539866208624046147e+08 6.968994487974063158e+08 -1.642366199595834911e+08 -1.328983111149747133e+09 -4.455083506681871414e+07
-1.155980319100319175e+06 1.687534016582052037e+07 1.307125310615169838e+03 -3.748681369482061863e+08 -9.400532049949692562e+06 -5.994929116728758067e+07 -1.003119804727393016e+07 4.966419199320459366e+07 -1.642366199595834911e+08 6.146998632676877826e+07 5.078193122054889202e+08 1.685476973486613482e+07
-1.333496134645001404e+07 1.938648098740293086e+08 1.544749646507050056e+04 -5.068232525742841721e+09 -9.150285375960756838e+07 -4.096671383316830397e+08 -9.100495699371004105e+07 4.486700561266966462e+08 -1.328983111149747133e+09 5.078193122054889202e+08 5.139987233418656349e+09 1.973384308946289420e+08
-9.265325211687694537e+05 4.067886881813635677e+07 5.651807957191767855e+03 -2.184305352439481914e+08 -3.163253350547355134e+06 -1.337190901182267256e+07 -3.194065000707220752e+06 2.367894895596533641e+07 -4.455083506681871414e+07 1.685476973486613482e+07 1.973384308946289420e+08 5.692223604020117968e+07
