# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.135529203290547431e+07 3.894451848125102697e+05 -1.289974852529063076e+08 -2.210183965856034309e+06 -1.307776167100762576e+07 -2.636830834377191495e+06 1.863508013533477113e+07 -4.021034241677349061e+07 1.448666951047668420e+07 1.489946832043594420e+08 3.977464307107222825e+07
3.894451848125102697e+05 5.678474924953730806e+03 -1.616268172511066310e+06 -2.359768328034412116e+04 -1.247877009499363048e+05 -2.731010754087207170e+04 1.968877198664566968e+05 -3.936585849302195711e+05 1.477517581791782286e+05 1.607209427418099251e+06 5.580391707667468581e+05
-1.289974852529063076e+08 -1.616268172511066310e+06 1.068457842655653381e+10 2.725171817764077336e+07 -2.409183946248292923e+08 -4.419943803020659834e+05 5.232346663939096779e+07 -4.966128466762708426e+08 2.957704335499902815e+07 -1.772291416030006170e+09 -1.651498227191396356e+08
-2.210183965856034309e+06 -2.359768328034412116e+04 2.725171817764077336e+07 4.322602230186471133e+05 1.146916223203205504e+06 4.568504175073608640e+05 -2.707871187170465011e+06 6.388109510948847048e+06 -2.066494545557336649e+06 -2.831606296174592525e+07 -2.429049384275725111e+06
-1.307776167100762576e+07 -1.247877009499363048e+05 -2.409183946248292923e+08 1.146916223203205504e+06 3.067255812767976895e+07 2.837413217367294710e+06 -2.263109721608117968e+07 7.071671203691250086e+07 -1.958002509268315509e+07 -7.025079806569388509e+07 -1.341100687631727196e+07
-2.636830834377191495e+06 -2.731010754087207170e+04 -4.419943803020659834e+05 4.568504175073608640e+05 2.837413217367294710e+06 6.123368598170727491e+05 -3.962475252920375206e+06 1.063523463338211551e+07 -3.015977257666781545e+06 -3.002955240225333348e+07 -2.824723820719785057e+06
1.863508013533477113e+07 1.968877198664566968e+05 5.232346663939096779e+07 -2.707871187170465011e+06 -2.263109721608117968e+07 -3.962475252920375206e+06 2.725493796365044266e+07 -7.455617562406976521e+07 2.087111247177703306e+07 1.784472305404864252e+08 2.039056546902500838e+07
-4.021034241677349061e+07 -3.936585849302195711e+05 -4.966128466762708426e+08 6.388109510948847048e+06 7.071671203691250086e+07 1.063523463338211551e+07 -7.455617562406976521e+07 5.942202126129759550e+08 -5.728128025108200312e+07 -3.811145393661904335e+08 -4.109553126915289462e+07
1.448666951047668420e+07 1.477517581791782286e+05 2.957704335499902815e+07 -2.066494545557336649e+06 -1.958002509268315509e+07 -3.015977257666781545e+06 2.087111247177703306e+07 -5.728128025108200312e+07 1.708438883660505712e+07 1.330968348188652992e+08 1.549144919205089286e+07
1.489946832043594420e+08 1.607209427418099251e+06 -1.772291416030006170e+09 -2.831606296174592525e+07 -7.025079806569388509e+07 -3.002955240225333348e+07 1.784472305404864252e+08 -3.811145393661904335e+08 1.330968348188652992e+08 1.871743558952609539e+09 1.650640293443082273e+08
3.977464307107222825e+07 5.580391707667468581e+05 -1.651498227191396356e+08 -2.429049384275725111e+06 -1.341100687631727196e+07 -2.824723820719785057e+06 2.039056546902500838e+07 -4.109553126915289462e+07 1.549144919205089286e+07 1.650640293443082273e+08 5.547814347163594514e+07
