# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.195123835833939910e+07 1.809221490736329556e+07 6.571978495555217705e+03 -2.977822463144909125e+06 4.066581362872693688e+07 -3.508460553704007063e+06 2.454348985570969805e+07 -1.709274325053210258e+08 2.023691616299579740e+08 -1.492472150091646798e+07 -5.244936741408248991e+07
1.809221490736329556e+07 6.420152282491451502e+07 2.600672344939201139e+03 -9.547839406525956467e+06 1.805807947508404776e+07 -1.057845387536080927e+07 5.254794295794598013e+07 -3.713912673548504114e+08 5.325564763330566883e+08 -6.210178572883550823e+07 -1.728125934382514358e+08
6.571978495555217705e+03 2.600672344939201139e+03 1.908514215710140238e+00 -4.337830909407977060e+02 9.892867219709878555e+03 -5.017887553986149101e+02 3.644134929414354701e+03 -2.909931902326884665e+04 2.988579739047097974e+04 -2.068843077097470541e+03 -7.156833309522080526e+03
-2.977822463144909125e+06 -9.547839406525956467e+06 -4.337830909407977060e+02 1.619964616279011825e+06 -2.993660102112132590e+06 1.665362985903807450e+06 -7.873736978354342282e+06 8.961381728663745522e+07 -9.207695199212321639e+07 7.904324869853836484e+06 2.469109884675832465e+07
4.066581362872693688e+07 1.805807947508404776e+07 9.892867219709878555e+03 -2.993660102112132590e+06 5.690074627058213949e+07 -3.465758177643123083e+06 2.504960439569742978e+07 -1.994256308866045475e+08 2.056756513813103437e+08 -1.455755532220631652e+07 -4.970324322329569608e+07
-3.508460553704007063e+06 -1.057845387536080927e+07 -5.017887553986149101e+02 1.665362985903807450e+06 -3.465758177643123083e+06 1.869190078236626228e+06 -9.549003075421132147e+06 5.903325484556742758e+07 -9.619092173258577287e+07 9.607530954077687114e+06 3.031447873258927837e+07
2.454348985570969805e+07 5.254794295794598013e+07 3.644134929414354701e+03 -7.873736978354342282e+06 2.504960439569742978e+07 -9.549003075421132147e+06 5.459998986230418086e+07 -1.733200786151437163e+08 4.738771012605123520e+08 -5.026370797196658701e+07 -1.632260542728214264e+08
-1.709274325053210258e+08 -3.713912673548504114e+08 -2.909931902326884665e+04 8.961381728663745522e+07 -1.994256308866045475e+08 5.903325484556742758e+07 -1.733200786151437163e+08 1.506822700755783081e+10 -4.982071271052084923e+09 1.278462281550131142e+08 2.805105693325411677e+08
2.023691616299579740e+08 5.325564763330566883e+08 2.988579739047097974e+04 -9.207695199212321639e+07 2.056756513813103437e+08 -9.619092173258577287e+07 4.738771012605123520e+08 -4.982071271052084923e+09 5.364867299153801918e+09 -4.280998993505535126e+08 -1.411239157362329006e+09
-1.492472150091646798e+07 -6.210178572883550823e+07 -2.068843077097470541e+03 7.904324869853836484e+06 -1.455755532220631652e+07 9.607530954077687114e+06 -5.026370797196658701e+07 1.278462281550131142e+08 -4.280998993505535126e+08 6.901930989660924673e+07 1.743334076722988486e+08
-5.244936741408248991e+07 -1.728125934382514358e+08 -7.156833309522080526e+03 2.469109884675832465e+07 -4.970324322329569608e+07 3.031447873258927837e+07 -1.632260542728214264e+08 2.805105693325411677e+08 -1.411239157362329006e+09 1.743334076722988486e+08 7.253466632352255583e+08
